Date	Départ	Arrivée	Commentaires	regularity	obs_person	obs_animal	obs_weather	obs_malicious	obs_construction	obs_strike	obs_technical
2014-11	MONTPELLIER	LYON PART DIEU	La régularité des TGV de cette relation a été perturbée en novembre par 2 accidents de personne, 3 heurts d'animaux et par les intempéries en région PACA.		1	1	1	0	0	0	0
2014-11	NICE VILLE	PARIS LYON	La régularité des TGV de cette relation a été perturbée en novembre par 2 accidents de personne, 3 heurts d'animaux et par les intempéries en région PACA.		1	1	1	0	0	0	0
2014-11	NIMES	PARIS LYON			0	0	0	0	0	0	0
2014-11	PARIS LYON	AVIGNON TGV			0	0	0	0	0	0	0
2014-11	PARIS LYON	LE CREUSOT MONTCEAU MONTCHANIN			0	0	0	0	0	0	0
2014-11	PARIS MONTPARNASSE	BORDEAUX ST JEAN			0	0	0	0	0	0	0
2014-11	PARIS MONTPARNASSE	NANTES			0	0	0	0	0	0	0
2014-11	PARIS MONTPARNASSE	TOURS			0	0	0	0	0	0	0
2014-11	REIMS	PARIS EST			0	0	0	0	0	0	0
2014-11	ST PIERRE DES CORPS	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-11	STRASBOURG	NANTES			0	0	0	0	0	0	0
2014-11	VALENCE ALIXAN TGV	PARIS LYON			0	0	0	0	0	0	0
2014-12	CHAMBERY CHALLES LES EAUX	PARIS LYON	D'importantes chutes de neige ont fortement perturbé le trafic TGV dans les Alpes le week end du 27 et du 28 décembre.		0	0	1	0	0	0	0
2014-12	DIJON VILLE	PARIS LYON			0	0	0	0	0	0	0
2014-12	MACON LOCHE	PARIS LYON			0	0	0	0	0	0	0
2014-12	MARSEILLE ST CHARLES	PARIS LYON			0	0	0	0	0	0	0
2014-12	METZ	PARIS EST			0	0	0	0	0	0	0
2014-12	NANCY	PARIS EST			0	0	0	0	0	0	0
2014-12	PARIS LYON	CHAMBERY CHALLES LES EAUX			0	0	0	0	0	0	0
2014-12	PARIS LYON	PERPIGNAN	Les intempéries en région Languedoc Roussillon ont perturbé la régularité de cette relation en décembre.		0	0	1	0	0	0	0
2014-12	PARIS LYON	SAINT ETIENNE CHATEAUCREUX			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	LA ROCHELLE VILLE			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	QUIMPER			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	ST MALO			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	ST PIERRE DES CORPS			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	TOURS			0	0	0	0	0	0	0
2014-12	PARIS MONTPARNASSE	VANNES			0	0	0	0	0	0	0
2014-12	PARIS NORD	DOUAI			0	0	0	0	0	0	0
2014-12	SAINT ETIENNE CHATEAUCREUX	PARIS LYON			0	0	0	0	0	0	0
2014-12	STRASBOURG	NANTES			0	0	0	0	0	0	0
2014-12	TOULOUSE MATABIAU	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-12	TOURS	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2015-01	DOUAI	PARIS NORD			0	0	0	0	0	0	0
2015-01	MACON LOCHE	PARIS LYON			0	0	0	0	0	0	0
2015-01	MARSEILLE ST CHARLES	LYON PART DIEU			0	0	0	0	0	0	0
2015-01	NANCY	PARIS EST			0	0	0	0	0	0	0
2015-01	NICE VILLE	PARIS LYON	5 collisions avec des animaux sauvages sur la ligne à grande vitesse ont perturbé la régularité de cette relation en janvier 2015		0	1	0	0	0	0	0
2015-01	PARIS LYON	BESANCON FRANCHE COMTE TGV			0	0	0	0	0	0	0
2015-05	QUIMPER	PARIS MONTPARNASSE	Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)		1	1	0	0	0	0	1
