Date	year	month	line_section	regularity
2011-11	2011	11	A1_2_1_1	0.9009287925696594
2011-11	2011	11	A1_2_1_2	0.9240174672489083
2011-11	2011	11	A1_2_1_2_1	0.9302325581395349
2011-11	2011	11	A1_2_1_2_1_1	0.900709219858156
2011-11	2011	11	E1	0.9197485207100592
2011-11	2011	11	E1_1	0.9283475145544111
2011-11	2011	11	E1_1_1	0.9037037037037037
2011-11	2011	11	N1	0.9108100479819362
2011-11	2011	11	N1_1	0.9045936395759717
2011-11	2011	11	N1_2	0.8968932913102207
2011-11	2011	11	N1_3	0.9422521655437921
2011-11	2011	11	N1_3_1	0.9643835616438357
2011-11	2011	11	S1	0.898180920240349
2011-11	2011	11	S1_1	0.894083341172044
2011-11	2011	11	S1_1_1	0.8936295136510422
2011-11	2011	11	S1_1_1_1	0.8914917351181422
2011-11	2011	11	S1_1_1_1_1	0.8669724770642202
2011-11	2011	11	S1_1_1_1_2	0.8722913193999231
2011-11	2011	11	S1_1_1_1_2_1	0.8719353513217367
2011-11	2011	11	S1_1_1_1_2_1_1	0.8563288563288564
2011-11	2011	11	S1_1_1_1_2_1_1_1	0.8513986013986015
2011-11	2011	11	S1_1_1_1_2_1_1_1_1	0.8152610441767069
2011-11	2011	11	S1_1_1_1_2_1_2	0.8773608045131224
2011-11	2011	11	S1_1_1_1_2_1_2_1	0.8705772811918063
2011-11	2011	11	S1_1_1_1_2_1_2_1_1	0.8912768647281921
2011-11	2011	11	S1_1_1_1_2_1_2_1_1_1	0.8885135135135135
2011-11	2011	11	S1_1_1_1_3	0.8958076448828607
2011-11	2011	11	S1_1_1_1_3_1	0.885558583106267
2011-11	2011	11	S1_1_1_1_3_2	0.9331619537275064
2011-11	2011	11	S1_1_1_1_3_3	0.8678500986193294
2011-11	2011	11	S1_2	0.9268774703557312
2011-11	2011	11	S1_2_1	0.896358543417367
2011-11	2011	11	S1_2_1_1	0.8719806763285024
2011-12	2011	12	A1	0.896010757507844
2011-12	2011	12	A1_1	0.8934719064631373
2011-12	2011	12	A1_1_1	0.9111828825191765
2011-12	2011	12	A1_1_1_1	0.9383561643835616
2011-12	2011	12	A1_1_1_2	0.9267015706806283
2011-12	2011	12	A1_1_1_3	0.9120234604105572
2011-12	2011	12	A1_1_1_3_1	0.9174603174603174
2011-12	2011	12	A1_1_2	0.9076992345790185
2011-12	2011	12	A1_1_2_1	0.9141965678627145
2011-12	2011	12	A1_2	0.8991394836902141
2011-12	2011	12	A1_2_1	0.9191836734693878
2011-12	2011	12	A1_2_1_1	0.8904761904761904
2011-12	2011	12	A1_2_1_2	0.9226373626373626
2011-12	2011	12	A1_2_1_2_1	0.9301007556675063
2011-12	2011	12	A1_2_1_2_1_1	0.9111111111111111
2011-12	2011	12	E1	0.9298181818181819
2011-12	2011	12	E1_1	0.9251881363435148
2011-12	2011	12	E1_1_1	0.8863636363636364
2011-12	2011	12	N1	0.8822372119168072
2011-12	2011	12	N1_1	0.8809523809523809
2011-12	2011	12	N1_2	0.8718778908418131
2011-12	2011	12	N1_3	0.9047151277013752
2011-12	2011	12	N1_3_1	0.9508196721311475
2011-12	2011	12	S1	0.9023776677757039
2011-12	2011	12	S1_1	0.9003831417624522
2011-12	2011	12	S1_1_1	0.902636309167166
2011-12	2011	12	S1_1_1_1	0.9001140960481278
2011-12	2011	12	S1_1_1_1_1	0.864406779661017
2011-12	2011	12	S1_1_1_1_2	0.8749830508474576
2011-12	2011	12	S1_1_1_1_2_1	0.8738452655889145
2011-12	2011	12	S1_1_1_1_2_1_1	0.8844463971880492
2011-12	2011	12	S1_1_1_1_2_1_1_1	0.8798761609907121
2011-12	2011	12	S1_1_1_1_2_1_1_1_1	0.933649289099526
2011-12	2011	12	S1_1_1_1_2_1_2	0.8614795918367347
2011-12	2011	12	S1_1_1_1_2_1_2_1	0.8529124633908233
2011-12	2011	12	S1_1_1_1_2_1_2_1_1	0.8689740420271941
2011-12	2011	12	S1_1_1_1_2_1_2_1_1_1	0.8473053892215568
2011-12	2011	12	S1_1_1_1_3	0.8820431806213797
2011-12	2011	12	S1_1_1_1_3_1	0.9195652173913044
2011-12	2011	12	S1_1_1_1_3_2	0.9444444444444444
2011-12	2011	12	S1_1_1_1_3_3	0.8571428571428572
2011-12	2011	12	S1_2	0.9134360063728093
2011-12	2011	12	S1_2_1	0.8968335035750766
2011-12	2011	12	S1_2_1_1	0.8790035587188612
2012-01	2012	1	A1	0.9138798993167925
2012-01	2012	1	A1_1	0.9241706161137441
2012-01	2012	1	A1_1_1	0.9338474025974026
2012-01	2012	1	A1_1_1_1	0.9235668789808917
2012-01	2012	1	A1_1_1_2	0.956989247311828
2012-01	2012	1	A1_1_1_3	0.9272997032640949
2012-01	2012	1	A1_1_1_3_1	0.9329073482428115
2012-01	2012	1	A1_1_2	0.9360751005811354
2012-01	2012	1	A1_1_2_1	0.9368745188606621
2012-01	2012	1	A1_2	0.9012987012987013
2012-01	2012	1	A1_2_1	0.9090660841070454
2012-01	2012	1	A1_2_1_1	0.9004424778761062
2012-01	2012	1	A1_2_1_2	0.9092542677448338
2012-01	2012	1	A1_2_1_2_1	0.9150453955901426
2012-01	2012	1	A1_2_1_2_1_1	0.8796992481203008
2012-01	2012	1	E1	0.9195816804904435
2012-01	2012	1	E1_1	0.9241893076248905
2012-01	2012	1	E1_1_1	0.905607476635514
2012-01	2012	1	N1	0.8890140845070422
2012-01	2012	1	N1_1	0.8902147971360381
2012-01	2012	1	N1_2	0.8749416705552964
2012-01	2012	1	N1_3	0.9190283400809717
2012-01	2012	1	N1_3_1	0.9389312977099237
2012-01	2012	1	S1	0.9157111868608615
2012-01	2012	1	S1_1	0.9118079823432039
2012-01	2012	1	S1_1_1	0.9148243851086229
2012-01	2012	1	S1_1_1_1	0.9141098202760402
2012-01	2012	1	S1_1_1_1_1	0.8898305084745762
2012-01	2012	1	S1_1_1_1_2	0.8962035024926499
2012-01	2012	1	S1_1_1_1_2_1	0.8952120383036936
2012-01	2012	1	S1_1_1_1_2_1_1	0.8857029072082836
2012-01	2012	1	S1_1_1_1_2_1_1_1	0.8787198203256598
2012-01	2012	1	S1_1_1_1_2_1_1_1_1	0.8993506493506493
2012-01	2012	1	S1_1_1_1_2_1_2	0.8969072164948454
2012-01	2012	1	S1_1_1_1_2_1_2_1	0.8928901200369345
2012-01	2012	1	S1_1_1_1_2_1_2_1_1	0.9243589743589744
2012-01	2012	1	S1_1_1_1_2_1_2_1_1_1	0.9104938271604939
2012-01	2012	1	S1_1_1_1_3	0.8975903614457832
2012-01	2012	1	S1_1_1_1_3_1	0.9227722772277228
2012-01	2012	1	S1_1_1_1_3_2	0.9492753623188406
2012-01	2012	1	S1_1_1_1_3_3	0.8660550458715597
2012-01	2012	1	S1_2	0.9365781710914454
2012-01	2012	1	S1_2_1	0.9322964318389753
2012-01	2012	1	S1_2_1_1	0.9364069952305246
2012-02	2012	2	A1	0.8068872383524646
2012-02	2012	2	A1_1	0.8515230635335074
2012-02	2012	2	A1_1_1	0.8792122538293217
2012-02	2012	2	A1_1_1_1	0.9319727891156463
2012-02	2012	2	A1_1_1_2	0.9361702127659575
2012-02	2012	2	A1_1_1_3	0.8784
2012-02	2012	2	A1_1_1_3_1	0.8862068965517241
2012-02	2012	2	A1_1_2	0.8607954545454546
2012-02	2012	2	A1_1_2_1	0.875
2012-02	2012	2	A1_2	0.7514063176114236
2012-02	2012	2	A1_2_1	0.7588568026198274
2012-02	2012	2	A1_2_1_1	0.7455919395465995
2012-02	2012	2	A1_2_1_2	0.7634252539912917
2012-02	2012	2	A1_2_1_2_1	0.7769985974754559
2012-02	2012	2	A1_2_1_2_1_1	0.7125506072874495
2012-02	2012	2	E1	0.8731314679954005
2012-02	2012	2	E1_1	0.8627268496975338
2012-02	2012	2	E1_1_1	0.8263002944062807
2012-02	2012	2	N1	0.803921568627451
2012-02	2012	2	N1_1	0.8324742268041238
2012-02	2012	2	N1_2	0.7756024096385542
2012-02	2012	2	N1_3	0.8524064171122995
2012-02	2012	2	N1_3_1	0.8972332015810277
2012-02	2012	2	S1	0.8397420197567148
2012-02	2012	2	S1_1	0.8357717275457804
2012-02	2012	2	S1_1_1	0.8398346940832577
2012-02	2012	2	S1_1_1_1	0.8388377926421404
2012-02	2012	2	S1_1_1_1_1	0.7897435897435897
2012-02	2012	2	S1_1_1_1_2	0.8046821832040288
2012-02	2012	2	S1_1_1_1_2_1	0.8034362259755388
2012-02	2012	2	S1_1_1_1_2_1_1	0.810012836970475
2012-02	2012	2	S1_1_1_1_2_1_1_1	0.7998790810157195
2012-02	2012	2	S1_1_1_1_2_1_1_1_1	0.8517241379310345
2012-02	2012	2	S1_1_1_1_2_1_2	0.7912230589457284
2012-02	2012	2	S1_1_1_1_2_1_2_1	0.782622844126261
2012-02	2012	2	S1_1_1_1_2_1_2_1_1	0.7866847826086957
2012-02	2012	2	S1_1_1_1_2_1_2_1_1_1	0.7672131147540984
2012-02	2012	2	S1_1_1_1_3	0.8471593765711413
2012-02	2012	2	S1_1_1_1_3_1	0.8882113821138211
2012-02	2012	2	S1_1_1_1_3_2	0.8663239074550129
2012-02	2012	2	S1_1_1_1_3_3	0.8079847908745247
2012-02	2012	2	S1_2	0.8609958506224067
2012-02	2012	2	S1_2_1	0.844574780058651
